"School_Name","Region","School_Type","Salary_Type","Salary"
"Massachusetts Institute of Technology (MIT)","Northeastern","Engineering","Starting_Median_Salary",72200
"California Institute of Technology (CIT)","California","Engineering","Starting_Median_Salary",75500
"Harvey Mudd College","California","Engineering","Starting_Median_Salary",71800
"Polytechnic University of New York, Brooklyn","Northeastern","Engineering","Starting_Median_Salary",62400
"Cooper Union","Northeastern","Engineering","Starting_Median_Salary",62200
"Worcester Polytechnic Institute (WPI)","Northeastern","Engineering","Starting_Median_Salary",61000
"Carnegie Mellon University (CMU)","Northeastern","Engineering","Starting_Median_Salary",61800
"Rensselaer Polytechnic Institute (RPI)","Northeastern","Engineering","Starting_Median_Salary",61100
"Georgia Institute of Technology","Southern","Engineering","Starting_Median_Salary",58300
"Colorado School of Mines","Western","Engineering","Starting_Median_Salary",58100
"Stevens Institute of Technology","Northeastern","Engineering","Starting_Median_Salary",60600
"Illinois Institute of Technology (IIT)","Midwestern","Engineering","Starting_Median_Salary",56000
"Wentworth Institute of Technology","Northeastern","Engineering","Starting_Median_Salary",53000
"Virginia Polytechnic Institute and State University (Virginia Tech)","Southern","Engineering","Starting_Median_Salary",53500
"South Dakota School of Mines & Technology","Midwestern","Engineering","Starting_Median_Salary",55800
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Western","Engineering","Starting_Median_Salary",51000
"Rochester Institute of Technology (RIT)","Northeastern","Engineering","Starting_Median_Salary",48900
"Tennessee Technological University","Southern","Engineering","Starting_Median_Salary",46200
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","Party","Starting_Median_Salary",52900
"University of Maryland, College Park","Southern","Party","Starting_Median_Salary",52000
"University of California, Santa Barbara (UCSB)","California","Party","Starting_Median_Salary",50500
"University of Texas (UT) - Austin","Southern","Party","Starting_Median_Salary",49700
"State University of New York (SUNY) at Albany","Northeastern","Party","Starting_Median_Salary",44500
"University of Florida (UF)","Southern","Party","Starting_Median_Salary",47100
"Louisiana State University (LSU)","Southern","Party","Starting_Median_Salary",46900
"University of Georgia (UGA)","Southern","Party","Starting_Median_Salary",44100
"Pennsylvania State University (PSU)","Northeastern","Party","Starting_Median_Salary",49900
"Arizona State University (ASU)","Western","Party","Starting_Median_Salary",47400
"Indiana University (IU), Bloomington","Midwestern","Party","Starting_Median_Salary",46300
"University of Iowa (UI)","Midwestern","Party","Starting_Median_Salary",44700
"Randolph-Macon College","Southern","Party","Starting_Median_Salary",42600
"University of Alabama, Tuscaloosa","Southern","Party","Starting_Median_Salary",41300
"University of Mississippi","Southern","Party","Starting_Median_Salary",41400
"University of New Hampshire (UNH)","Northeastern","Party","Starting_Median_Salary",41800
"West Virginia University (WVU)","Southern","Party","Starting_Median_Salary",43100
"University of Tennessee","Southern","Party","Starting_Median_Salary",43800
"Ohio University","Midwestern","Party","Starting_Median_Salary",42200
"Florida State University (FSU)","Southern","Party","Starting_Median_Salary",42100
"Bucknell University","Northeastern","Liberal Arts","Starting_Median_Salary",54100
"Colgate University","Northeastern","Liberal Arts","Starting_Median_Salary",52800
"Amherst College","Northeastern","Liberal Arts","Starting_Median_Salary",54500
"Lafayette College","Northeastern","Liberal Arts","Starting_Median_Salary",53900
"Bowdoin College","Northeastern","Liberal Arts","Starting_Median_Salary",48100
"College of the Holy Cross","Northeastern","Liberal Arts","Starting_Median_Salary",50200
"Occidental College","California","Liberal Arts","Starting_Median_Salary",51900
"Washington and Lee University","Southern","Liberal Arts","Starting_Median_Salary",53600
"Swarthmore College","Northeastern","Liberal Arts","Starting_Median_Salary",49700
"Davidson College","Southern","Liberal Arts","Starting_Median_Salary",46100
"Carleton College","Midwestern","Liberal Arts","Starting_Median_Salary",47500
"Williams College","Northeastern","Liberal Arts","Starting_Median_Salary",51700
"Pomona College","California","Liberal Arts","Starting_Median_Salary",48600
"Wesleyan University (Middletown, Connecticut)","Northeastern","Liberal Arts","Starting_Median_Salary",46500
"Bates College","Northeastern","Liberal Arts","Starting_Median_Salary",47300
"Union College","Northeastern","Liberal Arts","Starting_Median_Salary",47200
"University of Richmond","Southern","Liberal Arts","Starting_Median_Salary",48600
"Vassar College","Northeastern","Liberal Arts","Starting_Median_Salary",46000
"Middlebury College","Northeastern","Liberal Arts","Starting_Median_Salary",47700
"Mount Holyoke College","Northeastern","Liberal Arts","Starting_Median_Salary",42400
"Franklin and Marshall College","Northeastern","Liberal Arts","Starting_Median_Salary",49100
"DePauw University","Midwestern","Liberal Arts","Starting_Median_Salary",41400
"St. Olaf College","Midwestern","Liberal Arts","Starting_Median_Salary",45300
"Colby College","Northeastern","Liberal Arts","Starting_Median_Salary",46400
"Gettysburg College","Northeastern","Liberal Arts","Starting_Median_Salary",44700
"Siena College","Northeastern","Liberal Arts","Starting_Median_Salary",45500
"Smith College","Northeastern","Liberal Arts","Starting_Median_Salary",44000
"Hamilton College","Northeastern","Liberal Arts","Starting_Median_Salary",49200
"Randolph-Macon College","Southern","Liberal Arts","Starting_Median_Salary",42600
"Wellesley College","Northeastern","Liberal Arts","Starting_Median_Salary",42800
"Denison University","Midwestern","Liberal Arts","Starting_Median_Salary",42000
"Oberlin College","Midwestern","Liberal Arts","Starting_Median_Salary",43400
"University of Puget Sound","Western","Liberal Arts","Starting_Median_Salary",46600
"Colorado College (CC)","Western","Liberal Arts","Starting_Median_Salary",38500
"Reed College","Western","Liberal Arts","Starting_Median_Salary",40500
"Gustavus Adolphus College","Midwestern","Liberal Arts","Starting_Median_Salary",44500
"Whitman College","Western","Liberal Arts","Starting_Median_Salary",43500
"Ursinus College","Northeastern","Liberal Arts","Starting_Median_Salary",42100
"Juniata College","Northeastern","Liberal Arts","Starting_Median_Salary",41800
"Wittenberg University","Midwestern","Liberal Arts","Starting_Median_Salary",39200
"Grinnell College","Midwestern","Liberal Arts","Starting_Median_Salary",42600
"Skidmore College","Northeastern","Liberal Arts","Starting_Median_Salary",41600
"Moravian College","Northeastern","Liberal Arts","Starting_Median_Salary",42500
"Lewis & Clark College","Western","Liberal Arts","Starting_Median_Salary",38900
"Fort Lewis College","Western","Liberal Arts","Starting_Median_Salary",42000
"Thomas Aquinas College","California","Liberal Arts","Starting_Median_Salary",41500
