term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-13997.395833333387,-21990.760566559813,-6004.0311001069595,2.4992660941802747e-5
Region,Northeastern-California,1886.6666666666424,-6004.401009153634,9777.734342486918,0.9652641054658291
Region,Southern-California,-11330.392156862756,-19253.695208172183,-3407.0891055533266,0.0010309085872473034
Region,Western-California,-13497.435897435935,-22217.87964888321,-4776.992145988663,2.8388130838397085e-4
Region,Northeastern-Midwestern,15884.06250000003,9859.934444177914,21908.190555822144,4.8775428140857e-11
Region,Southern-Midwestern,2667.003676470631,-3399.288519876066,8733.295872817329,0.7469915725061731
Region,Western-Midwestern,499.95993589745194,-6575.8657396490635,7575.785611443967,0.9996818183832492
Region,Southern-Northeastern,-13217.058823529398,-19147.907862026706,-7286.209785032091,3.349467925239935e-8
Region,Western-Northeastern,-15384.102564102577,-22344.158475998036,-8424.046652207118,4.402654685264906e-8
Region,Western-Southern,-2167.043740573179,-9163.62579720802,4829.538316061661,0.9142965075769818
