term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-6665.79310344837,-10319.762924214207,-3011.8232826825342,9.001796888230551e-6
Region,Northeastern-California,-2607.9678607298993,-6120.7180945424525,904.782373082654,0.2509971384671884
Region,Southern-California,-6443.793103448348,-10011.844848957386,-2875.7413579393115,1.1446433863526728e-5
Region,Western-California,-6530.072173215813,-10545.306897577313,-2514.837448854312,1.0870934290718726e-4
Region,Northeastern-Midwestern,4057.8252427184707,1521.3030048242658,6594.347480612676,1.4906133517367248e-4
Region,Southern-Midwestern,222.00000000002183,-2390.5704041827553,2834.570404182799,0.9993446046885526
Region,Western-Midwestern,135.7209302325573,-3060.627103054815,3332.0689635199296,0.9999583446651886
Region,Southern-Northeastern,-3835.825242718449,-6246.933467351759,-1424.717018085139,1.6544887890412863e-4
Region,Western-Northeastern,-3922.1043124859134,-6956.006008978845,-888.2026159929819,0.004064704007642916
Region,Western-Southern,-86.27906976746453,-3184.0425464490886,3011.4844069141595,0.9999922605173097
