term,comparison,estimate,conf.low,conf.high,adj.p.value
School_Type,Ivy League-Engineering,1063.8888888891306,-4246.48253112664,6374.260308904902,0.981832341903999
School_Type,Liberal Arts-Engineering,-13664.30260047275,-17128.40695608971,-10200.19824485579,1.346700528870315e-13
School_Type,Party-Engineering,-13696.111111111073,-17756.428824151182,-9635.793398070964,1.4876988529977098e-13
School_Type,State-Engineering,-15284.825396825356,-18378.273591685695,-12191.377201965017,1.006972283335017e-13
School_Type,Liberal Arts-Ivy League,-14728.191489361881,-19507.960311567364,-9948.4226671564,1.687538997430238e-13
School_Type,Party-Ivy League,-14760.000000000204,-19988.035093412494,-9531.964906587913,2.09188222299872e-12
School_Type,State-Ivy League,-16348.714285714486,-20867.076017737265,-11830.352553691708,1.4588330543574557e-13
School_Type,Party-Liberal Arts,-31.808510638322332,-3368.322455766461,3304.7054344898165,0.9999998926895469
School_Type,State-Liberal Arts,-1620.522796352605,-3673.707422608112,432.66182990290235,0.19519796306418913
School_Type,State-Party,-1588.7142857142826,-4538.5834444592665,1361.1548730307013,0.5768294372983984
