salary_type,term,comparison,adj.p.value,flag
Starting_Median_Salary,Region,Midwestern-California,4.084794756886723e-5,***
Starting_Median_Salary,Region,Northeastern-California,0.9634884250574386,Cannot Reject the NULL Hypothesis
Starting_Median_Salary,Region,Southern-California,1.660788477377828e-4,***
Starting_Median_Salary,Region,Western-California,5.862435237721231e-4,***
Starting_Median_Salary,Region,Northeastern-Midwestern,1.7516668801009772e-6,***
Starting_Median_Salary,Region,Southern-Midwestern,0.9895887886614719,Cannot Reject the NULL Hypothesis
Starting_Median_Salary,Region,Western-Midwestern,0.9983989302175098,Cannot Reject the NULL Hypothesis
Starting_Median_Salary,Region,Southern-Northeastern,1.2179831357039816e-5,***
Starting_Median_Salary,Region,Western-Northeastern,1.904153673449871e-4,***
Starting_Median_Salary,Region,Western-Southern,0.9999592477461945,Cannot Reject the NULL Hypothesis
Mid_Career_Median_Salary,Region,Midwestern-California,2.4992660941802747e-5,***
Mid_Career_Median_Salary,Region,Northeastern-California,0.9652641054658291,Cannot Reject the NULL Hypothesis
Mid_Career_Median_Salary,Region,Southern-California,0.0010309085872473034,**
Mid_Career_Median_Salary,Region,Western-California,2.8388130838397085e-4,***
Mid_Career_Median_Salary,Region,Northeastern-Midwestern,4.8775428140857e-11,***
Mid_Career_Median_Salary,Region,Southern-Midwestern,0.7469915725061731,Cannot Reject the NULL Hypothesis
Mid_Career_Median_Salary,Region,Western-Midwestern,0.9996818183832492,Cannot Reject the NULL Hypothesis
Mid_Career_Median_Salary,Region,Southern-Northeastern,3.349467925239935e-8,***
Mid_Career_Median_Salary,Region,Western-Northeastern,4.402654685264906e-8,***
Mid_Career_Median_Salary,Region,Western-Southern,0.9142965075769818,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Midwestern-California,0.1283208227507575,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Northeastern-California,0.4643880600024263,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Southern-California,0.1972554407676279,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Western-California,0.2778049146808199,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Northeastern-Midwestern,1.8745873313630312e-6,***
Mid_Career_10th_Percentile_Salary,Region,Southern-Midwestern,0.9976521866323613,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Western-Midwestern,0.9996644421528889,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,Region,Southern-Northeastern,4.645240857970023e-6,***
Mid_Career_10th_Percentile_Salary,Region,Western-Northeastern,1.9716974196137826e-4,***
Mid_Career_10th_Percentile_Salary,Region,Western-Southern,0.9999949734488676,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,Region,Midwestern-California,4.422160921768725e-4,***
Mid_Career_25th_Percentile_Salary,Region,Northeastern-California,0.9999999984886163,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,Region,Southern-California,0.004541634418543827,**
Mid_Career_25th_Percentile_Salary,Region,Western-California,0.001542485364793733,**
Mid_Career_25th_Percentile_Salary,Region,Northeastern-Midwestern,9.418187317811189e-7,***
Mid_Career_25th_Percentile_Salary,Region,Southern-Midwestern,0.9120721726047598,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,Region,Western-Midwestern,0.9999998113906039,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,Region,Southern-Northeastern,4.07893354562594e-5,***
Mid_Career_25th_Percentile_Salary,Region,Western-Northeastern,2.7852811567363744e-5,***
