salary_type,term,comparison,adj.p.value,flag
Starting_Median_Salary,School_Type,Ivy League-Engineering,0.981832341904006,Cannot Reject the NULL Hypothesis
Starting_Median_Salary,School_Type,Liberal Arts-Engineering,1.346700528870315e-13,***
Starting_Median_Salary,School_Type,Party-Engineering,1.4876988529977098e-13,***
Starting_Median_Salary,School_Type,State-Engineering,1.006972283335017e-13,***
Starting_Median_Salary,School_Type,Liberal Arts-Ivy League,1.688649220454863e-13,***
Starting_Median_Salary,School_Type,Party-Ivy League,2.09188222299872e-12,***
Starting_Median_Salary,School_Type,State-Ivy League,1.4588330543574557e-13,***
Starting_Median_Salary,School_Type,Party-Liberal Arts,0.9999998926895469,Cannot Reject the NULL Hypothesis
Starting_Median_Salary,School_Type,State-Liberal Arts,0.1951979630642091,Cannot Reject the NULL Hypothesis
Starting_Median_Salary,School_Type,State-Party,0.5768294372983995,Cannot Reject the NULL Hypothesis
Mid_Career_Median_Salary,School_Type,Ivy League-Engineering,0.009596435649004031,**
Mid_Career_Median_Salary,School_Type,Liberal Arts-Engineering,2.266772026637831e-6,***
Mid_Career_Median_Salary,School_Type,Party-Engineering,1.2028954365916888e-7,***
Mid_Career_Median_Salary,School_Type,State-Engineering,1.4876988529977098e-13,***
Mid_Career_Median_Salary,School_Type,Liberal Arts-Ivy League,8.851475108428986e-12,***
Mid_Career_Median_Salary,School_Type,Party-Ivy League,8.040235144335384e-13,***
Mid_Career_Median_Salary,School_Type,State-Ivy League,1.3777867735598193e-13,***
Mid_Career_Median_Salary,School_Type,Party-Liberal Arts,0.47046125560513996,Cannot Reject the NULL Hypothesis
Mid_Career_Median_Salary,School_Type,State-Liberal Arts,2.783438124431825e-8,***
Mid_Career_Median_Salary,School_Type,State-Party,0.1121139201171748,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,School_Type,Ivy League-Engineering,0.45216473601967166,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,School_Type,Liberal Arts-Engineering,1.8962515890841303e-8,***
Mid_Career_10th_Percentile_Salary,School_Type,Party-Engineering,1.5343282200319663e-13,***
Mid_Career_10th_Percentile_Salary,School_Type,State-Engineering,0,***
Mid_Career_10th_Percentile_Salary,School_Type,Liberal Arts-Ivy League,0.002764881243768058,**
Mid_Career_10th_Percentile_Salary,School_Type,Party-Ivy League,6.237797510522114e-6,***
Mid_Career_10th_Percentile_Salary,School_Type,State-Ivy League,1.5920721407880478e-9,***
Mid_Career_10th_Percentile_Salary,School_Type,Party-Liberal Arts,0.5510676231173159,Cannot Reject the NULL Hypothesis
Mid_Career_10th_Percentile_Salary,School_Type,State-Liberal Arts,0.034758153249346835,*
Mid_Career_10th_Percentile_Salary,School_Type,State-Party,0.8051781534349669,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,School_Type,Ivy League-Engineering,0.999953636074157,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,School_Type,Liberal Arts-Engineering,1.5898393712632242e-13,***
Mid_Career_25th_Percentile_Salary,School_Type,Party-Engineering,5.837552663479073e-13,***
Mid_Career_25th_Percentile_Salary,School_Type,State-Engineering,1.0269562977782698e-13,***
Mid_Career_25th_Percentile_Salary,School_Type,Liberal Arts-Ivy League,1.039500774346891e-8,***
Mid_Career_25th_Percentile_Salary,School_Type,Party-Ivy League,1.0797549521157634e-8,***
Mid_Career_25th_Percentile_Salary,School_Type,State-Ivy League,1.816324868286756e-13,***
Mid_Career_25th_Percentile_Salary,School_Type,Party-Liberal Arts,0.91784988782713,Cannot Reject the NULL Hypothesis
Mid_Career_25th_Percentile_Salary,School_Type,State-Liberal Arts,0.002342977808479363,**
Mid_Career_25th_Percentile_Salary,School_Type,State-Party,0.4787597612034735,Cannot Reject the NULL Hypothesis
Mid_Career_50th_Percentile_Salary,School_Type,Ivy League-Engineering,0.009596435649004031,**
